Sample,Timestamp_us,Intensity
7258,1814750,433
7259,1815000,433
7260,1815250,433
7261,1815500,429
7262,1815750,426
7263,1816000,433
7264,1816250,435
7265,1816500,432
7266,1816750,426
7267,1817000,432
7268,1817250,433
7269,1817500,433
7270,1817750,431
7271,1818000,432
7272,1818250,437
7273,1818500,430
7274,1818750,427
7275,1819000,426
7276,1819250,426
7277,1819500,427
7278,1819750,432
7279,1820000,427
7280,1820250,426
7281,1820500,428
7282,1820750,429
7283,1821000,424
7284,1821250,422
7285,1821500,416
7286,1821750,408
7287,1822000,412
7288,1822250,411
7289,1822500,415
7290,1822750,415
7291,1823000,408
7292,1823250,415
7293,1823500,416
7294,1823750,409
7295,1824000,414
7296,1824250,412
7297,1824500,412
7298,1824750,398
7299,1825000,386
7300,1825250,392
7301,1825500,386
7302,1825750,394
7303,1826000,388
7304,1826250,383
7305,1826500,384
7306,1826750,384
7307,1827000,381
7308,1827250,384
7309,1827500,385
7310,1827750,383
7311,1828000,383
7312,1828250,385
7313,1828500,375
7314,1828750,374
7315,1829000,379
7316,1829250,371
7317,1829500,378
7318,1829750,376
7319,1830000,374
7320,1830250,374
7321,1830500,370
7322,1830750,370
7323,1831000,372
7324,1831250,369
7325,1831500,376
7326,1831750,368
7327,1832000,370
7328,1832250,364
7329,1832500,360
7330,1832750,369
7331,1833000,363
7332,1833250,364
7333,1833500,365
7334,1833750,362
7335,1834000,367
7336,1834250,359
7337,1834500,362
7338,1834750,360
7339,1835000,356
7340,1835250,359
7341,1835500,351
7342,1835750,351
7343,1836000,350
7344,1836250,357
7345,1836500,358
7346,1836750,368
7347,1837000,364
7348,1837250,360
7349,1837500,380
7350,1837750,375
7351,1838000,380
7352,1838250,369
7353,1838500,374
7354,1838750,391
7355,1839000,390
7356,1839250,399
7357,1839500,388
7358,1839750,398
7359,1840000,406
7360,1840250,406
7361,1840500,400
7362,1840750,486
7363,1841000,478
7364,1841250,484
7365,1841500,488
7366,1841750,476
7367,1842000,479
7368,1842250,470
7369,1842500,464
7370,1842750,474
7371,1843000,475
7372,1843250,481
7373,1843500,485
7374,1843750,477
7375,1844000,483
7376,1844250,470
7377,1844500,465
7378,1844750,465
7379,1845000,466
7380,1845250,468
7381,1845500,479
7382,1845750,480
7383,1846000,492
7384,1846250,490
7385,1846500,491
7386,1846750,486
7387,1847000,472
7388,1847250,467
7389,1847500,470
7390,1847750,465
7391,1848000,469
7392,1848250,476
7393,1848500,480
7394,1848750,486
7395,1849000,480
7396,1849250,474
7397,1849500,460
7398,1849750,455
7399,1850000,453
7400,1850250,448
7401,1850500,482
7402,1850750,450
7403,1851000,488
7404,1851250,458
7405,1851500,482
7406,1851750,459
7407,1852000,478
7408,1852250,466
7409,1852500,469
7410,1852750,468
7411,1853000,468
7412,1853250,487
7413,1853500,459
7414,1853750,497
7415,1854000,476
7416,1854250,478
7417,1854500,470
7418,1854750,494
7419,1855000,481
7420,1855250,479
7421,1855500,482
7422,1855750,483
7423,1856000,484
7424,1856250,488
7425,1856500,467
7426,1856750,485
7427,1857000,485
7428,1857250,476
7429,1857500,476
7430,1857750,475
7431,1858000,480
7432,1858250,487
7433,1858500,482
7434,1858750,488
7435,1859000,485
7436,1859250,485
7437,1859500,475
7438,1859750,476
7439,1860000,476
7440,1860250,479
7441,1860500,484
7442,1860750,484
7443,1861000,490
7444,1861250,486
7445,1861500,486
7446,1861750,480
7447,1862000,480
7448,1862250,475
7449,1862500,478
7450,1862750,478
7451,1863000,484
7452,1863250,482
7453,1863500,486
7454,1863750,483
7455,1864000,488
7456,1864250,481
7457,1864500,476
7458,1864750,469
7459,1865000,476
7460,1865250,476
7461,1865500,480
7462,1865750,484
7463,1866000,476
7464,1866250,481
7465,1866500,481
7466,1866750,480
7467,1867000,471
7468,1867250,480
7469,1867500,472
7470,1867750,465
7471,1868000,470
7472,1868250,479
7473,1868500,476
7474,1868750,465
7475,1869000,471
7476,1869250,471
7477,1869500,480
7478,1869750,472
7479,1870000,483
7480,1870250,465
7481,1870500,474
7482,1870750,470
7483,1871000,481
7484,1871250,468
7485,1871500,476
7486,1871750,478
7487,1872000,482
7488,1872250,478
7489,1872500,481
7490,1872750,473
7491,1873000,468
7492,1873250,474
7493,1873500,467
7494,1873750,479
7495,1874000,471
7496,1874250,479
7497,1874500,479
7498,1874750,479
7499,1875000,479
7500,1875250,472
7501,1875500,481
7502,1875750,478
7503,1876000,480
7504,1876250,479
7505,1876500,476
7506,1876750,480
7507,1877000,479
7508,1877250,476
7509,1877500,482
7510,1877750,477
7511,1878000,476
7512,1878250,483
7513,1878500,480
7514,1878750,488
7515,1879000,476
7516,1879250,478
7517,1879500,483
7518,1879750,472
7519,1880000,480
7520,1880250,476
7521,1880500,478
7522,1880750,474
7523,1881000,479
7524,1881250,474
7525,1881500,477
7526,1881750,476
7527,1882000,478
7528,1882250,478
7529,1882500,481
7530,1882750,483
7531,1883000,482
7532,1883250,482
7533,1883500,483
7534,1883750,482
7535,1884000,486
7536,1884250,482
7537,1884500,478
7538,1884750,478
7539,1885000,483
7540,1885250,483
7541,1885500,483
7542,1885750,482
7543,1886000,481
7544,1886250,481
7545,1886500,482
7546,1886750,481
7547,1887000,484
7548,1887250,490
7549,1887500,480
7550,1887750,480
7551,1888000,485
7552,1888250,479
7553,1888500,482
7554,1888750,485
7555,1889000,478
7556,1889250,484
7557,1889500,479
7558,1889750,480
7559,1890000,479
7560,1890250,484
7561,1890500,483
7562,1890750,477
7563,1891000,482
7564,1891250,482
7565,1891500,480
7566,1891750,482
7567,1892000,479
7568,1892250,485
7569,1892500,482
7570,1892750,474
7571,1893000,481
7572,1893250,482
